uid	title	imgURL	caption	impression	problems
Implant100	3M Latitude Total Elbow Prosthesis	http://orthopaediclist.com/images/uploaded/Latitude AP Xray-opt.jpg	Latitude Total Elbow Arthroplasty, AP	NA	NA
Implant4204	AACORD Cerclage Cables plus Distal Femur Plate	http://orthopaediclist.com/images/uploaded/AP SC Femur14069-opt.jpg	Distal Femur Plate with ACCORD cerclage cables, AP view	NA	NA
Implant150	Acclaim Total Elbow Prosthesis	http://orthopaediclist.com/images/uploaded/acclaim21518-opt.jpg	Acclaim Total Elbow Prosthesis	NA	NA
Implant4205	ACCORD Cerclage Cables plus Distal Femur Plate	http://orthopaediclist.com/images/uploaded/Lat SC Femur7929-opt.jpg	Distal Femur Plate with ACCORD cerclage cables, lateral view	NA	NA
Implant267	AO Distal Condylar Plate	http://orthopaediclist.com/images/uploaded/2003-10-31 AP  Post-Op Healing49107-opt.jpg	AP of Distal Femur with AO Distal Femoral Condylar Locking Plate.  Note use of locked and standard screws in plate and tapered proximal tip to facilitate percutaneous insertion.	NA	NA
Implant268	AO Distal Condylar Plate	http://orthopaediclist.com/images/uploaded/LCP Distal Femur90125-opt.jpg	Lateral of Distal Femur with AO Distal Femoral Condylar Locking Plate.  Note straight anterior edge that distinguishes this from the older Condylar Buttress Plate with conventional screws.	NA	NA
Implant271	AO Femoral Rod	http://orthopaediclist.com/images/uploaded/Lat Synthes SS Nail good Starting Point95017-opt.jpg	Proximal end of AO stainless steel femoral rod. First generation interlocking rod. Open section (slot anteriorly). Flared proximal end. Notch for rotational control through insertion handle.	NA	NA
Implant192	Arthrex Hemiarthroplasty Shoulder Prosthesis	http://orthopaediclist.com/images/uploaded/DSC0425478434-opt.jpg	L shoulder hemiarthroplasty in elderly male with painful chronic posterior glenohumeral dislocation	NA	NA
Implant641	Arthrosurface HemiCap	http://orthopaediclist.com/images/uploaded/2ndmet19022-opt.jpg	Arthrosurface HemiCap, 2nd Metatarsal Head for Freiberg's Infraction	NA	NA
Implant65	Ascension MCP Prosthesis	http://orthopaediclist.com/images/uploaded/MCP-Four Joint  Xray-opt.jpg	Ascension MCP Joint Prostheses (PyroCarbon)	NA	NA
Implant242	Avanta Radial Head	http://orthopaediclist.com/images/uploaded/Post-Op AP56538-opt.jpg	Avanta radial head endoprosthesis	NA	NA
Implant3346	Biomet AGC	http://orthopaediclist.com/images/uploaded/Total Knee48872-opt.jpg	AGC Modular 1 tibial tray	NA	NA
Implant285	Biomet Holland Nail	http://orthopaediclist.com/images/uploaded/Holland Nail62397-opt.jpg	Holland Nail.  Intramedullary fixation for proximal femoral fractures.	NA	NA
Implant4210	Biomet OSS Total Femur	http://orthopaediclist.com/images/uploaded/IMG_012749000-opt.jpg	Biomet OSS Total Femur	NA	NA
Implant4211	Biomet OSS Total Femur	http://orthopaediclist.com/images/uploaded/IMG_0128(1)97288-opt.jpg	Biomet  OSS Total Femur	NA	NA
Implant635	Biomet Precontoured Distal Tibial Plate	http://orthopaediclist.com/images/uploaded/Fig 12.82688-opt.jpg	Anterolateral precontoured distal tibial plate used for a tibial plafond fracture. Locked screws used distally and conventional screws proximally.	NA	NA
Implant819	Birmingham	http://orthopaediclist.com/images/uploaded/BHR APX-RAY1PtStarr20567-opt.jpg	Birmingham Resurfacing Total Hip Prosthesis	NA	NA
Implant430	Bosworth Screw	http://orthopaediclist.com/images/uploaded/Bosworth13919-opt.jpg	Bosworth screw with flat head.  Requires a blade or cross head screwdriver for removal.	NA	NA
Implant47	BP Cages and Sextant Screws	http://orthopaediclist.com/images/uploaded/IMG_1112-opt.jpg	BP-Lordotic cages (Spine-Tech) Sextant percutaneous pedicle screws (Medtronic Sofamor-Danek)	NA	NA
Implant333	Braun-Cutter Thumb TJA	http://orthopaediclist.com/images/uploaded/DSC0435882403-opt.jpg	Fluoro view of cemented total joint arthroplasty of thumb using Braun-Cutter prosthesis	NA	NA
Implant3760	Cable Pins	http://orthopaediclist.com/images/uploaded/elbow fx 230237-opt.jpg	"Identified by Philip Konkel MD, Orthopedics and Hand Surgery, Menomonee Falls, WI: """"These are from Zimmer, and are known as cable pins, designed for olecranon Fx and osteotomy repair. The wire is swedged into the pin, and must be cut to remove, (heavy wire cutter). The pins have a hex fitting on the end, and there is a driver that can be chucked into a drill, for insertion and removal. The insertion set from your Zimmer rep has what is needed for removal. One note of advice, the pins when inserted will drive in only so far, the threaded end as it draws into the bone will advance the pin into the bone, but the driver is larger than the hole for the pin, so the pin spins off the driver, stopping its forward progress, so for removal, you need to remove a little bone from around the end of the pin to fit the driver for removal."	NA	NA
Implant252	Cannulated Screw	http://orthopaediclist.com/images/uploaded/3-13-2002 AP 4 wks22925-opt.jpg	AP: 3.5 mm Stainless Steel cannulated screw for medial epicondyle apophysis avulsion. Note self tapping threads.	NA	NA
Implant253	Cannulated Screw	http://orthopaediclist.com/images/uploaded/3-13-2002 Lat 4 wks71453-opt.jpg	Lateral: 3.5 mm Stainless Steel cannulated screw for medial epicondyle apophysis avulsion. Note self tapping threads.	NA	NA
Implant30	Centerpulse Druck Scheibe	http://orthopaediclist.com/images/uploaded/THRUST PLATE-opt.jpg	Druck Scheibe Prosthese Thrust Plate Total Hip (Formerly Centerpulse Orthopedics, Inc.)	NA	NA
